bid_id,price,quantity,dispatch
107f65,80.5866,0.02,4.02
108d27,78.1603,0.016,4.036
1c75bb,78.1131,0.02,4.056
18656a,77.9909,0.02,4.076
1f59b7,75.757,0.008,4.084
1d03a4,75.5987,0.006,4.09
1a61e4,75.5382,0.003,4.093
11aaef,75.302,0.004,4.097
176088,74.7493,0.004,4.101
131d5d,74.5588,0.01,4.111
183895,73.3715,0.011,4.122
1b08df,72.6768,0.011,4.133
1b7839,72.198,0.005,4.138
117582,72.1097,0.004,4.142
1f7452,72.0416,0.01,4.152
16e944,71.7055,0.005,4.157
145cac,71.565,0.003,4.16
16f4ab,71.0851,0.015,4.175
126c2c,70.6148,0.003,4.178
1d5213,70.5477,0.008,4.186
13f22c,70.5357,0.02,4.206
173838,70.3476,0.001,4.207
131eb5,70.311,0.015,4.222
1de9df,69.8394,0.009,4.231
12dd0c,69.8286,0.006,4.237
12a7ad,69.7793,0.008,4.245
133cb3,69.7022,0.016,4.261
17e804,69.55,0.006,4.267
111df2,69.4757,0.001,4.268
1422e5,69.3865,0.003,4.271
1149b6,69.3861,0.013,4.284
1da27b,69.3281,0.015,4.299
1c1cc8,69.2801,0.001,4.3
170032,68.8799,0.001,4.301
120c56,68.7193,0.019,4.32
1d8ea0,68.5434,0.007,4.327
119eb2,68.2944,0.012,4.339
1b4636,68.102,0.001,4.34
145c81,68.0873,0.01,4.3500000000000005
1963dd,68.0677,0.007,4.357
14ffb0,67.8775,0.014,4.371
144a0d,67.7896,0.003,4.3740000000000006
13edc5,67.6077,0.001,4.375
19bc20,67.53,0.008,4.383
15b398,67.435,0.007,4.390000000000001
103b86,67.3997,0.005,4.3950000000000005
1a5557,67.3747,0.018,4.413
158c9d,67.3116,0.012,4.425
1cb93c,67.293,0.001,4.426
156736,67.1773,0.02,4.446000000000001
1f74af,67.1559,0.011,4.457
1af6ad,67.0995,0.016,4.473
153aed,67.0944,0.001,4.474
1893e2,66.9018,0.014,4.488
18f36f,66.7661,0.019,4.507000000000001
18ebe0,66.7601,0.002,4.509
1c7128,66.7189,0.01,4.519
1fc1b4,66.6438,0.014,4.533
146c03,66.6291,0.011,4.5440000000000005
142309,66.6264,0.018,4.562
118626,66.6104,0.007,4.569
1fe5f7,66.5833,0.003,4.572
13f300,66.5689,0.004,4.5760000000000005
19ed06,66.5631,0.001,4.577
15a074,66.5218,0.006,4.583
167eeb,66.4499,0.002,4.585
123469,66.4498,0.009,4.594
1c444b,66.2568,0.009,4.603000000000001
1301de,65.9565,0.014,4.617
10c52b,65.8962,0.001,4.618
174a2e,65.6706,0.02,4.638
19a11c,65.6644,0.008,4.646000000000001
1a01b0,65.5267,0.008,4.654
137c2e,65.3763,0.001,4.655
16abdb,65.3523,0.005,4.66
16105a,65.3158,0.006,4.666
192d97,65.3123,0.019,4.6850000000000005
1bae58,65.285,0.02,4.705
16269c,65.1829,0.006,4.711
108e3f,65.1301,0.002,4.713
1f1447,65.0899,0.004,4.7170000000000005
10e4fe,64.904,0.005,4.722
1dd95e,64.8861,0.009,4.731000000000001
1fe6c9,64.7528,0.02,4.751
1620ab,64.7499,0.001,4.752000000000001
15173b,64.7272,0.002,4.7540000000000004
183dd0,64.6453,0.002,4.756
113373,64.5444,0.004,4.760000000000001
110320,64.5202,0.012,4.772
145219,64.5034,0.02,4.792000000000001
11a44d,64.1466,0.004,4.796
1e815e,64.0881,0.004,4.800000000000001
149f82,63.9549,0.007,4.807
13512e,63.9031,0.003,4.8100000000000005
1261c7,63.8511,0.003,4.813000000000001
1cc265,63.7927,0.003,4.816000000000001
176e4e,63.7775,0.001,4.817
1f2861,63.7704,0.002,4.819000000000001
1da3ed,63.7373,0.006,4.825
163f55,63.6571,0.001,4.8260000000000005
181512,63.6436,0.003,4.829000000000001
107ec5,63.6359,0.014,4.843000000000001
1d332e,63.5058,0.015,4.8580000000000005
14b5d7,63.498,0.005,4.863
15052f,63.3299,0.012,4.875000000000001
12ef38,63.2737,0.006,4.881
13e19e,63.1779,0.008,4.889
1ed19d,63.1562,0.011,4.9
1867e8,63.0256,0.008,4.908
19b0f4,63.0106,0.011,4.9190000000000005
158146,62.9514,0.015,4.934000000000001
1b3789,62.9032,0.004,4.938000000000001
173eee,62.8891,0.001,4.939000000000001
18e39e,62.8632,0.005,4.944000000000001
1ef3ad,62.7439,0.02,4.964
15e545,62.6218,0.001,4.965000000000001
165206,62.4485,0.009,4.974
185812,62.3778,0.02,4.994000000000001
124c61,62.3708,0.001,4.995000000000001
1fb796,62.3584,0.015,5.010000000000001
1b00b2,62.2245,0.011,5.021000000000001
159b87,62.2193,0.005,5.026000000000001
1b44d5,62.199,0.011,5.037000000000001
16f5cf,62.1968,0.013,5.050000000000001
1cc128,62.1236,0.012,5.062
130daf,62.1143,0.002,5.064
16a591,62.0969,0.008,5.072
1e21de,62.0793,0.006,5.078
14b5c7,62.0604,0.011,5.089
106e2d,61.9697,0.004,5.093
1b6eeb,61.8579,0.002,5.095000000000001
1dd1e9,61.843,0.002,5.097
15cddf,61.7884,0.011,5.1080000000000005
177851,61.7589,0.001,5.109
103558,61.7211,0.013,5.122
1ecf06,61.6331,0.017,5.138999999999999
1d72d4,61.5826,0.014,5.153
194469,61.5259,0.002,5.154999999999999
19dbb3,61.5165,0.016,5.170999999999999
1eaa6d,61.4819,0.009,5.18
1d80e1,61.4499,0.002,5.1819999999999995
1dde37,61.3805,0.005,5.186999999999999
138fca,61.3388,0.009,5.196
10d71f,61.2984,0.02,5.215999999999999
18e90a,61.2789,0.002,5.218
1ca95e,61.2085,0.007,5.225
16d328,61.1989,0.019,5.244
1ce4f5,61.1087,0.02,5.263999999999999
13aef5,61.0752,0.001,5.264999999999999
1eee91,60.8762,0.001,5.265999999999999
1a54bb,60.8366,0.004,5.27
188072,60.8278,0.001,5.270999999999999
1d03ae,60.7514,0.016,5.286999999999999
1a25af,60.7143,0.004,5.290999999999999
1bd3b6,60.7001,0.002,5.292999999999999
10f1ef,60.6599,0.008,5.300999999999999
11ee65,60.6501,0.005,5.305999999999999
1c9869,60.5826,0.007,5.312999999999999
1236b0,60.5312,0.006,5.318999999999999
159a5f,60.4303,0.002,5.320999999999999
1ca851,60.3836,0.005,5.325999999999999
160778,60.3593,0.004,5.329999999999998
186e59,60.3247,0.008,5.337999999999999
1265bb,60.2424,0.01,5.347999999999999
12393c,60.2356,0.012,5.3599999999999985
16a6a2,60.2077,0.006,5.365999999999999
143810,60.1426,0.005,5.370999999999999
1aaf4d,60.0362,0.001,5.371999999999998
1f1c78,60.0217,0.018,5.389999999999999
10eb13,59.8532,0.002,5.391999999999999
1b23a8,59.8009,0.003,5.394999999999999
184b3a,59.7876,0.015,5.409999999999998
13ac67,59.7482,0.008,5.417999999999998
104de2,59.477,0.003,5.4209999999999985
1092e2,59.4751,0.009,5.429999999999998
1fecbb,59.4516,0.006,5.435999999999998
1f4ffe,59.4085,0.013,5.448999999999998
136c2f,59.3762,0.001,5.4499999999999975
186572,59.3425,0.003,5.452999999999998
149067,59.205,0.002,5.454999999999998
14b19b,59.1744,0.013,5.467999999999998
14f026,59.126,0.001,5.468999999999998
1ab270,59.0788,0.016,5.484999999999998
1ca988,59.0687,0.002,5.486999999999997
110ecb,59.0644,0.01,5.496999999999998
17f704,59.0259,0.02,5.516999999999998
152d44,59.0179,0.008,5.524999999999998
1c88a6,58.9078,0.005,5.529999999999998
1959e8,58.8333,0.02,5.549999999999997
1cdd45,58.785,0.001,5.5509999999999975
1d618b,58.777,0.002,5.552999999999997
1310fa,58.7767,0.004,5.556999999999998
1e1e8d,58.7556,0.015,5.571999999999997
17a310,58.7494,0.018,5.589999999999997
157a97,58.6807,0.001,5.5909999999999975
1caac8,58.668,0.008,5.5989999999999975
1967a0,58.5984,0.02,5.618999999999997
100dae,58.5657,0.004,5.6229999999999976
1fa990,58.5382,0.01,5.632999999999997
177371,58.5344,0.02,5.652999999999997
195d14,58.4861,0.012,5.664999999999997
1934b7,58.3963,0.001,5.665999999999997
